"Year","Team","Position","WAA"
2017,"LAA","All.P",-2.6
2017,"LAD","All.P",6.5
2017,"MIA","All.P",-15.8
2017,"MIL","All.P",5.5
2017,"MIN","All.P",-5.2
2017,"NYM","All.P",-9.2
2017,"NYY","All.P",9.6
2017,"OAK","All.P",-5.5
2017,"PHI","All.P",0.7
2017,"PIT","All.P",-0.2
2017,"SDP","All.P",-8.1
2017,"SEA","All.P",-4.6
2017,"SFG","All.P",1.4
2017,"STL","All.P",0
2017,"TBR","All.P",-6.1
2017,"TEX","All.P",3.1
2017,"TOR","All.P",0.5
2017,"WSN","All.P",13.4
2018,"ARI","All.P",-3.1
2018,"ATL","All.P",0
2018,"BAL","All.P",-5.8
2018,"BOS","All.P",13.9
2018,"CHC","All.P",5.4
2018,"CHW","All.P",-7.7
2018,"CIN","All.P",-7.5
2018,"CLE","All.P",6.9
2018,"COL","All.P",9.8
2018,"DET","All.P",-4.4
2018,"HOU","All.P",17.5
2018,"KCR","All.P",-9.8
2018,"LAA","All.P",-3.2
2018,"LAD","All.P",3.7
2018,"MIA","All.P",-15.4
2018,"MIL","All.P",-4.1
2018,"MIN","All.P",-6.3
2018,"NYM","All.P",4.6
2018,"NYY","All.P",2.7
2018,"OAK","All.P",0.3
2018,"PHI","All.P",13.5
2018,"PIT","All.P",1.2
2018,"SDP","All.P",-11.1
2018,"SEA","All.P",2.5
2018,"SFG","All.P",-3.5
2018,"STL","All.P",-3.6
2018,"TBR","All.P",0.1
2018,"TEX","All.P",-3.3
2018,"TOR","All.P",-3.2
2018,"WSN","All.P",10.3
2019,"ARI","All.P",-3.9
2019,"ATL","All.P",2
2019,"BAL","All.P",-6.1
2019,"BOS","All.P",4
2019,"CHC","All.P",8.2
2019,"CHW","All.P",-1.1
2019,"CIN","All.P",3.7
2019,"CLE","All.P",3.5
2019,"COL","All.P",-3.7
2019,"DET","All.P",-1.3
2019,"HOU","All.P",8.6
2019,"KCR","All.P",-7.6
2019,"LAA","All.P",-9.4
2019,"LAD","All.P",0.5
2019,"MIA","All.P",-6.5
2019,"MIL","All.P",-0.6
2019,"MIN","All.P",0.3
2019,"NYM","All.P",6.7
2019,"NYY","All.P",0.7
2019,"OAK","All.P",4.4
2019,"PHI","All.P",-3.4
2019,"PIT","All.P",-8.3
2019,"SDP","All.P",-3.8
2019,"SEA","All.P",-5.7
2019,"SFG","All.P",-3.3
2019,"STL","All.P",2.1
2019,"TBR","All.P",5.2
2019,"TEX","All.P",7.6
2019,"TOR","All.P",-3
2019,"WSN","All.P",10.3
2015,"ARI","SP",-3.5
2015,"ATL","SP",-0.8
2015,"BAL","SP",-3
2015,"BOS","SP",1.8
2015,"CHC","SP",5.8
2015,"CHW","SP",-0.3
2015,"CIN","SP",-4.4
2015,"CLE","SP",6.5
2015,"COL","SP",-1.8
2015,"DET","SP",-7.3
2015,"HOU","SP",2.7
2015,"KCR","SP",-0.7
2015,"LAA","SP",-0.8
2015,"LAD","SP",8.6
2015,"MIA","SP",-4.5
2015,"MIL","SP",-5.9
2015,"MIN","SP",2.4
2015,"NYM","SP",6.5
2015,"NYY","SP",3.7
2015,"OAK","SP",1.5
2015,"PHI","SP",-7.1
2015,"PIT","SP",2.1
2015,"SDP","SP",-4.8
2015,"SEA","SP",2.8
2015,"SFG","SP",0.2
2015,"STL","SP",12.7
2015,"TBR","SP",3.7
2015,"TEX","SP",-0.7
2015,"TOR","SP",0.9
2015,"WSN","SP",7.5
2016,"ARI","SP",-2.6
2016,"ATL","SP",-3.3
2016,"BAL","SP",-1.2
2016,"BOS","SP",-0.2
2016,"CHC","SP",10.4
2016,"CHW","SP",1
2016,"CIN","SP",-3
2016,"CLE","SP",4.6
2016,"COL","SP",0.9
2016,"DET","SP",6.4
2016,"HOU","SP",-5.6
2016,"KCR","SP",-0.1
2016,"LAA","SP",-4.6
2016,"LAD","SP",2
2016,"MIA","SP",-1.9
2016,"MIL","SP",-1.1
2016,"MIN","SP",-7
2016,"NYM","SP",7
2016,"NYY","SP",3
2016,"OAK","SP",-0.9
2016,"PHI","SP",-0.6
2016,"PIT","SP",-2.5
2016,"SDP","SP",-5.4
2016,"SEA","SP",-2.6
2016,"SFG","SP",4.1
2016,"STL","SP",0.7
2016,"TBR","SP",-1.4
2016,"TEX","SP",3.7
2016,"TOR","SP",5.9
2016,"WSN","SP",8.5
2017,"ARI","SP",11.8
2017,"ATL","SP",-2.5
2017,"BAL","SP",-7.9
2017,"BOS","SP",3.1
2017,"CHC","SP",1.3
2017,"CHW","SP",-5.6
2017,"CIN","SP",-9.8
2017,"CLE","SP",12
2017,"COL","SP",8.1
2017,"DET","SP",-0.1
2017,"HOU","SP",2.5
2017,"KCR","SP",2.8
2017,"LAA","SP",-2
2017,"LAD","SP",5.5
2017,"MIA","SP",-8.5
2017,"MIL","SP",3.6
2017,"MIN","SP",-1.9
2017,"NYM","SP",-6.1
2017,"NYY","SP",5
2017,"OAK","SP",-3.1
2017,"PHI","SP",-0.4
2017,"PIT","SP",-0.8
2017,"SDP","SP",-6.4
2017,"SEA","SP",-1.9
2017,"SFG","SP",1.4
2017,"STL","SP",0.8
2017,"TBR","SP",-3.6
2017,"TEX","SP",4.5
2017,"TOR","SP",0.4
2017,"WSN","SP",13.2
2018,"ARI","SP",1
2018,"ATL","SP",2.9
2018,"BAL","SP",-3.7
2018,"BOS","SP",10.4
2018,"CHC","SP",3.2
2018,"CHW","SP",-3.8
2018,"CIN","SP",-6.9
2018,"CLE","SP",10.7
2018,"COL","SP",10.4
2018,"DET","SP",-0.6
2018,"HOU","SP",13
2018,"KCR","SP",-2.7
2018,"LAA","SP",-0.6
2018,"LAD","SP",6.5
2018,"MIA","SP",-3.7
2018,"MIL","SP",-2.3
2018,"MIN","SP",-0.4
2018,"NYM","SP",10.4
2018,"NYY","SP",2.2
2018,"OAK","SP",-2.4
2018,"PHI","SP",10.7
2018,"PIT","SP",3.3
2018,"SDP","SP",-9.9
2018,"SEA","SP",0.3
2018,"SFG","SP",-1.3
2018,"STL","SP",3
2018,"TBR","SP",3.7
2018,"TEX","SP",-4.8
2018,"TOR","SP",-2.2
2018,"WSN","SP",8
2019,"ARI","SP",0.9
2019,"ATL","SP",4.7
2019,"BAL","SP",0.1
2019,"BOS","SP",3.2
2019,"CHC","SP",6.7
2019,"CHW","SP",-2
2019,"CIN","SP",5.9
2019,"CLE","SP",4.4
2019,"COL","SP",-1.3
2019,"DET","SP",0.5
2019,"HOU","SP",9
2019,"KCR","SP",-3
2019,"LAA","SP",-7
2019,"LAD","SP",5.4
2019,"MIA","SP",-0.7
2019,"MIL","SP",3.1
2019,"MIN","SP",1.6
2019,"NYM","SP",9.6
2019,"NYY","SP",0.8
2019,"OAK","SP",3.3
2019,"PHI","SP",-1.8
2019,"PIT","SP",-5.1
2019,"SDP","SP",-0.3
2019,"SEA","SP",-1.5
2019,"SFG","SP",-4.1
2019,"STL","SP",3.5
2019,"TBR","SP",5.1
2019,"TEX","SP",7.1
2019,"TOR","SP",-3.3
2019,"WSN","SP",14.6
2015,"ARI","RP",-1.8
2015,"ATL","RP",-4.3
2015,"BAL","RP",3.2
2015,"BOS","RP",-2
2015,"CHC","RP",-1.6
2015,"CHW","RP",-1.5
2015,"CIN","RP",-2.8
2015,"CLE","RP",1
2015,"COL","RP",-0.8
2015,"DET","RP",-4.9
2015,"HOU","RP",-0.3
2015,"KCR","RP",4.8
2015,"LAA","RP",-3.2
2015,"LAD","RP",-3.3
2015,"MIA","RP",-2.3
2015,"MIL","RP",0.7
2015,"MIN","RP",-0.4
2015,"NYM","RP",0
2015,"NYY","RP",2.6
2015,"OAK","RP",-6.9
2015,"PHI","RP",-0.6
2015,"PIT","RP",3.7
2015,"SDP","RP",-2.2
2015,"SEA","RP",-3.6
2015,"SFG","RP",1.2
2015,"STL","RP",4.3
2015,"TBR","RP",-2.1
2015,"TEX","RP",0.6
2015,"TOR","RP",-0.6
2015,"WSN","RP",-1.1
2016,"ARI","RP",-4.5
2016,"ATL","RP",-2
2016,"BAL","RP",4.3
2016,"BOS","RP",-0.7
2016,"CHC","RP",-0.7
2016,"CHW","RP",-0.6
2016,"CIN","RP",-5.5
2016,"CLE","RP",2.1
2016,"COL","RP",-5.2
2016,"DET","RP",-0.3
2016,"HOU","RP",-2.3
2016,"KCR","RP",2
2016,"LAA","RP",-3.4
2016,"LAD","RP",2.3
2016,"MIA","RP",0.1
2016,"MIL","RP",1.5
2016,"MIN","RP",-3.5
2016,"NYM","RP",1.2
2016,"NYY","RP",1.2
2016,"OAK","RP",2.6
2016,"PHI","RP",-5.8
2016,"PIT","RP",0.9
2016,"SDP","RP",-1.5
2016,"SEA","RP",1.1
2016,"SFG","RP",0.3
2016,"STL","RP",2.9
2016,"TBR","RP",-1.9
2016,"TEX","RP",-0.2
2016,"TOR","RP",-1.1
2016,"WSN","RP",3.1
2017,"ARI","RP",1.5
2017,"ATL","RP",-2.3
2017,"BAL","RP",0.7
2017,"BOS","RP",4
2017,"CHC","RP",0.2
2017,"CHW","RP",0.1
2017,"CIN","RP",-5
2017,"CLE","RP",5.3
2017,"COL","RP",2.4
2017,"DET","RP",-5
2017,"HOU","RP",-3
2017,"KCR","RP",1.9
2017,"LAA","RP",-0.6
2017,"LAD","RP",1
2017,"MIA","RP",-7.3
2017,"MIL","RP",1.9
2017,"MIN","RP",-3.3
2017,"NYM","RP",-3.1
2017,"NYY","RP",4.6
2017,"OAK","RP",-2.4
2017,"PHI","RP",1.1
2017,"PIT","RP",0.6
2017,"SDP","RP",-1.7
2017,"SEA","RP",-2.7
2017,"SFG","RP",0
2017,"STL","RP",-0.8
2017,"TBR","RP",-2.5
2017,"TEX","RP",-1.4
2017,"TOR","RP",0.1
2017,"WSN","RP",0.2
2018,"ARI","RP",-4.1
2018,"ATL","RP",-2.9
2018,"BAL","RP",-2.1
2018,"BOS","RP",3.5
2018,"CHC","RP",2.2
2018,"CHW","RP",-3.9
2018,"CIN","RP",-0.6
2018,"CLE","RP",-3.8
2018,"COL","RP",-0.6
2018,"DET","RP",-3.8
2018,"HOU","RP",4.5
2018,"KCR","RP",-7.1
2018,"LAA","RP",-2.6
2018,"LAD","RP",-2.8
2018,"MIA","RP",-11.7
2018,"MIL","RP",-1.8
2018,"MIN","RP",-5.9
2018,"NYM","RP",-5.8
2018,"NYY","RP",0.5
2018,"OAK","RP",2.7
2018,"PHI","RP",2.8
2018,"PIT","RP",-2.1
2018,"SDP","RP",-1.2
2018,"SEA","RP",2.2
2018,"SFG","RP",-2.2
2018,"STL","RP",-6.6
2018,"TBR","RP",-3.6
2018,"TEX","RP",1.5
2018,"TOR","RP",-1
2018,"WSN","RP",2.3
2019,"ARI","RP",-4.8
2019,"ATL","RP",-2.7
2019,"BAL","RP",-6.2
2019,"BOS","RP",0.8
2019,"CHC","RP",1.5
2019,"CHW","RP",0.9
2019,"CIN","RP",-2.2
2019,"CLE","RP",-0.9
2019,"COL","RP",-2.4
2019,"DET","RP",-1.8
2019,"HOU","RP",-0.4
2019,"KCR","RP",-4.6
2019,"LAA","RP",-2.4
2019,"LAD","RP",-4.9
2019,"MIA","RP",-5.8
2019,"MIL","RP",-3.7
2019,"MIN","RP",-1.3
2019,"NYM","RP",-2.9
2019,"NYY","RP",-0.1
2019,"OAK","RP",1.1
2019,"PHI","RP",-1.6
2019,"PIT","RP",-3.2
2019,"SDP","RP",-3.5
2019,"SEA","RP",-4.2
2019,"SFG","RP",0.8
2019,"STL","RP",-1.4
2019,"TBR","RP",0.1
2019,"TEX","RP",0.5
2019,"TOR","RP",0.3
2019,"WSN","RP",-4.3
2015,"ARI","Non.P",11.1
2015,"ATL","Non.P",-6.5
2015,"BAL","Non.P",-0.2
2015,"BOS","Non.P",1.2
2015,"CHC","Non.P",3.7
2015,"CHW","Non.P",-8.3
2015,"CIN","Non.P",-2.7
2015,"CLE","Non.P",-4.9
2015,"COL","Non.P",-6.3
2015,"DET","Non.P",1.6
2015,"HOU","Non.P",8.9
2015,"KCR","Non.P",4.4
2015,"LAA","Non.P",1.5
2015,"LAD","Non.P",7.2
2015,"MIA","Non.P",1.4
2015,"MIL","Non.P",-5.4
2015,"MIN","Non.P",-8.2
2015,"NYM","Non.P",-0.1
2015,"NYY","Non.P",-0.6
2015,"OAK","Non.P",-1.8
2015,"PHI","Non.P",-9.3
2015,"PIT","Non.P",3.8
2015,"SDP","Non.P",-2.2
2015,"SEA","Non.P",-5.2
2015,"SFG","Non.P",6.2
2015,"STL","Non.P",2.2
2015,"TBR","Non.P",1
2015,"TEX","Non.P",-1.1
2015,"TOR","Non.P",12.3
2015,"WSN","Non.P",-1.9
2016,"ARI","Non.P",-1.5
2016,"ATL","Non.P",-6.2
2016,"BAL","Non.P",1.2
2016,"BOS","Non.P",17.6
2016,"CHC","Non.P",14.9
2016,"CHW","Non.P",-1.5
2016,"CIN","Non.P",-3.4
2016,"CLE","Non.P",1.3
2016,"COL","Non.P",2.9
2016,"DET","Non.P",-1.2
2016,"HOU","Non.P",8.9
2016,"KCR","Non.P",-4.4
2016,"LAA","Non.P",2.4
2016,"LAD","Non.P",3.6
2016,"MIA","Non.P",2.8
2016,"MIL","Non.P",-3.6
2016,"MIN","Non.P",-7.7
2016,"NYM","Non.P",-2
2016,"NYY","Non.P",-6.3
2016,"OAK","Non.P",-11.7
2016,"PHI","Non.P",-11.3
2016,"PIT","Non.P",-2.2
2016,"SDP","Non.P",-4
2016,"SEA","Non.P",2.8
2016,"SFG","Non.P",6.7
2016,"STL","Non.P",3.7
2016,"TBR","Non.P",-0.2
2016,"TEX","Non.P",-3.8
2016,"TOR","Non.P",2.9
2016,"WSN","Non.P",0.6
2017,"ARI","Non.P",1.7
2017,"ATL","Non.P",-4.9
2017,"BAL","Non.P",-1.5
2017,"BOS","Non.P",-1.1
2017,"CHC","Non.P",8.3
2017,"CHW","Non.P",-4.3
2017,"CIN","Non.P",7.1
2017,"CLE","Non.P",6.9
2017,"COL","Non.P",-1.7
2017,"DET","Non.P",-7.1
2017,"HOU","Non.P",17.1
2017,"KCR","Non.P",-10.6
2017,"LAA","Non.P",-1.3
2017,"LAD","Non.P",10
2017,"MIA","Non.P",13.1
2017,"MIL","Non.P",-1.3
2017,"MIN","Non.P",6.7
2017,"NYM","Non.P",-1.2
2017,"NYY","Non.P",7.4
2017,"OAK","Non.P",-2.8
2017,"PHI","Non.P",-4.8
2017,"PIT","Non.P",-7.6
2017,"SDP","Non.P",-8.7
2017,"SEA","Non.P",3
2017,"SFG","Non.P",-15.4
2017,"STL","Non.P",2.8
2017,"TBR","Non.P",3.4
2017,"TEX","Non.P",-6.4
2017,"TOR","Non.P",-9.1
2017,"WSN","Non.P",3.2
2018,"ARI","Non.P",3.7
2018,"ATL","Non.P",9.3
2018,"BAL","Non.P",-15.2
2018,"BOS","Non.P",7
2018,"CHC","Non.P",9
2018,"CHW","Non.P",-9.6
2018,"CIN","Non.P",-1.3
2018,"CLE","Non.P",8.3
2018,"COL","Non.P",-6.3
2018,"DET","Non.P",-13.5
2018,"HOU","Non.P",6.7
2018,"KCR","Non.P",-7.9
2018,"LAA","Non.P",6.5
2018,"LAD","Non.P",14.4
2018,"MIA","Non.P",-8.8
2018,"MIL","Non.P",10.9
2018,"MIN","Non.P",-2.2
2018,"NYM","Non.P",-5.4
2018,"NYY","Non.P",11.6
2018,"OAK","Non.P",12.5
2018,"PHI","Non.P",-15.9
2018,"PIT","Non.P",-1.1
2018,"SDP","Non.P",-3.1
2018,"SEA","Non.P",-1.4
2018,"SFG","Non.P",-5.7
2018,"STL","Non.P",3.5
2018,"TBR","Non.P",10
2018,"TEX","Non.P",-4.8
2018,"TOR","Non.P",-8.1
2018,"WSN","Non.P",-2.7
2019,"ARI","Non.P",7.5
2019,"ATL","Non.P",7.1
2019,"BAL","Non.P",-11.6
2019,"BOS","Non.P",4.4
2019,"CHC","Non.P",3.5
2019,"CHW","Non.P",-8.6
2019,"CIN","Non.P",-5.6
2019,"CLE","Non.P",2.4
2019,"COL","Non.P",-6.2
2019,"DET","Non.P",-24.6
2019,"HOU","Non.P",22.9
2019,"KCR","Non.P",-8.9
2019,"LAA","Non.P",1.1
2019,"LAD","Non.P",18.7
2019,"MIA","Non.P",-14.7
2019,"MIL","Non.P",1.8
2019,"MIN","Non.P",13
2019,"NYM","Non.P",0.7
2019,"NYY","Non.P",14.6
2019,"OAK","Non.P",13
2019,"PHI","Non.P",0
2019,"PIT","Non.P",-8.2
2019,"SDP","Non.P",-7.1
2019,"SEA","Non.P",-4.5
2019,"SFG","Non.P",-7.9
2019,"STL","Non.P",7.1
2019,"TBR","Non.P",4.7
2019,"TEX","Non.P",-9.4
2019,"TOR","Non.P",-7.5
2019,"WSN","Non.P",5.3
2015,"ARI","C",0
2015,"ATL","C",-0.5
2015,"BAL","C",0.4
2015,"BOS","C",-1.1
2015,"CHC","C",-0.1
2015,"CHW","C",-0.7
2015,"CIN","C",-1.1
2015,"CLE","C",0.1
2015,"COL","C",-0.3
2015,"DET","C",-1.1
2015,"HOU","C",0.3
2015,"KCR","C",-0.3
2015,"LAA","C",0
2015,"LAD","C",1.2
2015,"MIA","C",-0.7
2015,"MIL","C",-1.3
2015,"MIN","C",-1.5
2015,"NYM","C",-0.3
2015,"NYY","C",0.6
2015,"OAK","C",1.5
2015,"PHI","C",-1.5
2015,"PIT","C",1.7
2015,"SDP","C",-0.5
2015,"SEA","C",-4.1
2015,"SFG","C",1.7
2015,"STL","C",-0.9
2015,"TBR","C",-2.6
2015,"TEX","C",0.1
2015,"TOR","C",0.7
2015,"WSN","C",-1.6
2016,"ARI","C",0
2016,"ATL","C",-2.2
2016,"BAL","C",-1.3
2016,"BOS","C",-0.3
2016,"CHC","C",0.1
2016,"CHW","C",-1.9
2016,"CIN","C",-1.2
2016,"CLE","C",-2.7
2016,"COL","C",-0.6
2016,"DET","C",-1.6
2016,"HOU","C",-0.5
2016,"KCR","C",0.6
2016,"LAA","C",0
2016,"LAD","C",0.7
2016,"MIA","C",0.8
2016,"MIL","C",0.8
2016,"MIN","C",-1.6
2016,"NYM","C",-1.7
2016,"NYY","C",0.4
2016,"OAK","C",0
2016,"PHI","C",0.5
2016,"PIT","C",-1.5
2016,"SDP","C",-1.8
2016,"SEA","C",0.2
2016,"SFG","C",2
2016,"STL","C",0.9
2016,"TBR","C",-1.3
2016,"TEX","C",0.1
2016,"TOR","C",-1.3
2016,"WSN","C",1.7
2017,"ARI","C",-1.1
2017,"ATL","C",2.2
2017,"BAL","C",2
2017,"BOS","C",-0.7
2017,"CHC","C",2.4
2017,"CHW","C",-1
2017,"CIN","C",0.7
2017,"CLE","C",-0.1
2017,"COL","C",-1.5
2017,"DET","C",0.2
2017,"HOU","C",-1.1
2017,"KCR","C",-0.3
2017,"LAA","C",-0.5
2017,"LAD","C",1.6
2017,"MIA","C",2.3
2017,"MIL","C",-0.1
2017,"MIN","C",1
2017,"NYM","C",-0.3
2017,"NYY","C",0.3
2017,"OAK","C",-2
2017,"PHI","C",0.1
2017,"PIT","C",-1.8
2017,"SDP","C",-2.2
2017,"SEA","C",1.3
2017,"SFG","C",1.1
2017,"STL","C",-0.8
2017,"TBR","C",-1.7
2017,"TEX","C",-0.3
2017,"TOR","C",-1.3
2017,"WSN","C",-3.7
2018,"ARI","C",-1.5
2018,"ATL","C",0
2018,"BAL","C",-1.8
2018,"BOS","C",-3.4
2018,"CHC","C",0.8
2018,"CHW","C",0.1
2018,"CIN","C",-0.6
2018,"CLE","C",-0.1
2018,"COL","C",-2
2018,"DET","C",-2.9
2018,"HOU","C",-0.4
2018,"KCR","C",-1.2
2018,"LAA","C",-0.8
2018,"LAD","C",1.6
2018,"MIA","C",1.8
2018,"MIL","C",-0.8
2018,"MIN","C",-0.6
2018,"NYM","C",-1.2
2018,"NYY","C",-0.1
2018,"OAK","C",-2.2
2018,"PHI","C",-0.1
2018,"PIT","C",2.2
2018,"SDP","C",-0.3
2018,"SEA","C",-0.2
2018,"SFG","C",0.7
2018,"STL","C",-2
2018,"TBR","C",-0.3
2018,"TEX","C",-0.7
2018,"TOR","C",0.5
2018,"WSN","C",-2.4
2019,"ARI","C",1
2019,"ATL","C",-2.1
2019,"BAL","C",-1
2019,"BOS","C",-0.9
2019,"CHC","C",0.7
2019,"CHW","C",0.7
2019,"CIN","C",-0.2
2019,"CLE","C",1.7
2019,"COL","C",-1.4
2019,"DET","C",-4.1
2019,"HOU","C",1.5
2019,"KCR","C",-0.8
2019,"LAA","C",-2.8
2019,"LAD","C",0.2
2019,"MIA","C",-0.4
2019,"MIL","C",0.5
2019,"MIN","C",1.9
2019,"NYM","C",-1.2
2019,"NYY","C",1.1
2019,"OAK","C",-1.4
2019,"PHI","C",1.9
2019,"PIT","C",-1.6
2019,"SDP","C",-2.1
2019,"SEA","C",1.9
2019,"SFG","C",-0.7
2019,"STL","C",-0.2
