Sex	Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
M	52	824	28	M50-54	50-54	172.97	Y	GBR
M	38	1553	350	M35-39	35-39	179.88	Y	CA
F	24	2790	22	F20-24	20-24	191.52	Y	MI
M	61	6926	80	M60-64	60-64	213.37	N	BEL
M	46	9211	1108	M45-49	45-49	222.17	N	NJ
M	40	737	98	M40-44	40-44	171.53	N	BRA
F	29	4506	160	F25-29	25-29	202.68	Y	OH
F	36	6051	190	F35-39	35-39	209.57	Y	CAN
M	35	669	149	M35-39	35-39	170.47	Y	PHI
M	47	6996	860	M45-49	45-49	213.62	N	FRA
M	48	9259	1115	M45-49	45-49	222.35	Y	ITA
M	38	7603	1171	M35-39	35-39	216.18	N	NJ
M	30	3293	508	M30-34	30-34	194.88	N	JPN
F	54	9231	109	F50-54	50-54	222.27	Y	GER
M	54	8424	709	M50-54	50-54	219.12	N	GER
M	30	10782	1349	M30-34	30-34	227.47	Y	NY
M	56	2770	49	M55-59	55-59	191.37	N	ME
F	48	9206	243	F45-49	45-49	222.15	N	CA
M	41	488	54	M40-44	40-44	167.52	Y	GBR
M	38	125	12	M35-39	35-39	155.75	N	IRL
F	53	10712	169	F50-54	50-54	227.22	N	NY
M	49	16135	1830	M45-49	45-49	240.8	N	FRA
M	45	10766	1269	M45-49	45-49	227.4	N	AUS
M	40	690	87	M40-44	40-44	170.85	N	GBR
M	50	541	13	M50-54	50-54	168.28	Y	ITA
M	39	111	9	M35-39	35-39	154.48	Y	NOR
M	34	502	136	M30-34	30-34	167.68	N	CAN
M	43	15431	1966	M40-44	40-44	239.2	Y	NED
F	45	15430	528	F45-49	45-49	239.2	N	MEX
F	36	10749	401	F35-39	35-39	227.35	N	NY
M	55	12857	509	M55-59	55-59	233.27	N	POL
F	37	7659	269	F35-39	35-39	216.4	Y	NED
F	37	11283	427	F35-39	35-39	228.83	N	AUS
M	55	7641	273	M55-59	55-59	216.35	N	CA
M	54	8454	712	M50-54	50-54	219.25	N	FRA
F	25	9264	405	F25-29	25-29	222.37	Y	WA
M	32	15447	1795	M30-34	30-34	239.25	Y	AUS
M	24	10707	236	M20-24	20-24	227.2	Y	NY
M	50	18708	1571	M50-54	50-54	248.22	N	FRA
M	45	8497	1020	M45-49	45-49	219.42	N	NY
M	28	1506	247	M25-29	25-29	179.52	Y	CA
F	33	17511	804	F30-34	30-34	244.87	Y	IRL
M	35	262	44	M35-39	35-39	162.15	N	VA
M	30	550	144	M30-34	30-34	168.47	N	FL
M	45	892	60	M45-49	45-49	173.88	Y	NY
F	57	14767	103	F55-59	55-59	237.83	N	NED
M	36	616	133	M35-39	35-39	169.75	N	NY
M	34	16183	1870	M30-34	30-34	240.97	N	NY
M	37	3271	640	M35-39	35-39	194.73	N	BRA
M	43	69	7	M40-44	40-44	149.87	Y	GBR
F	44	2772	37	F40-44	40-44	191.38	Y	HKG
M	41	13762	1796	M40-44	40-44	235.57	N	FRA
M	38	11	1	M35-39	35-39	132.95	Y	GER
M	44	19718	2404	M40-44	40-44	251.1	Y	MD
M	35	3262	637	M35-39	35-39	194.68	N	ESP
M	34	11241	1390	M30-34	30-34	228.72	Y	NJ
F	33	16141	729	F30-34	30-34	240.82	Y	FL
M	45	11293	1334	M45-49	45-49	228.87	N	NY
M	29	396	100	M25-29	25-29	165.53	N	CA
F	30	651	14	F30-34	30-34	170.23	N	MA
F	47	9286	251	F45-49	45-49	222.45	Y	ITA
M	36	662	145	M35-39	35-39	170.38	Y	BRA
M	43	11221	1501	M40-44	40-44	228.67	Y	CT
F	41	74	3	F40-44	40-44	150.2	N	NJ
M	50	17529	1495	M50-54	50-54	244.92	Y	MI
M	37	19744	2396	M35-39	35-39	251.15	Y	OK
M	40	17533	2195	M40-44	40-44	244.93	N	SWE
M	30	5853	805	M30-34	30-34	208.88	Y	COL
M	35	1563	353	M35-39	35-39	180	N	MO
M	44	7623	1065	M40-44	40-44	216.27	N	ESP
M	40	915	134	M40-44	40-44	174.08	Y	ITA
F	40	12868	570	F40-44	40-44	233.3	Y	MEX
M	26	593	126	M25-29	25-29	169.33	Y	MN
F	41	18786	889	F40-44	40-44	248.45	Y	UKR
M	45	4565	570	M45-49	45-49	203.07	N	NY
F	56	9300	31	F55-59	55-59	222.5	N	GA
F	51	18749	441	F50-54	50-54	248.35	Y	WA
M	36	667	148	M35-39	35-39	170.45	N	HUN
M	39	770	176	M35-39	35-39	172.05	N	CA
M	30	16133	1867	M30-34	30-34	240.78	N	POL
M	51	4517	361	M50-54	50-54	202.72	Y	CAN
M	29	19776	1544	M25-29	25-29	251.22	N	NY
F	36	13715	546	F35-39	35-39	235.47	Y	DEN
M	25	411	105	M25-29	25-29	165.82	Y	NY
M	37	978	220	M35-39	35-39	175	N	OH
M	23	5	1	M20-24	20-24	130.65	Y	ETH
M	37	14790	1920	M35-39	35-39	237.87	Y	GER
F	46	14753	492	F45-49	45-49	237.8	N	NY
F	33	130	7	F30-34	30-34	156	N	MI
M	38	546	117	M35-39	35-39	168.35	Y	CAN
M	39	384	70	M35-39	35-39	165.05	Y	CHN
M	62	5866	54	M60-64	60-64	208.92	N	COL
M	28	2769	363	M25-29	25-29	191.35	N	NY
M	37	106	8	M35-39	35-39	154.25	N	CA
M	52	7689	642	M50-54	50-54	216.52	Y	GER
M	36	13719	1797	M35-39	35-39	235.47	N	FRA
M	36	16148	2069	M35-39	35-39	240.85	N	NY
M	52	9253	780	M50-54	50-54	222.33	Y	VA
M	46	91	3	M45-49	45-49	153.05	N	NY
M	25	500	117	M25-29	25-29	167.67	N	NJ
M	34	2744	460	M30-34	30-34	191.18	Y	NV
M	42	1533	242	M40-44	40-44	179.73	N	OR
M	34	1510	296	M30-34	30-34	179.55	N	VA
F	39	961	11	F35-39	35-39	174.8	N	TX
F	35	14774	604	F35-39	35-39	237.83	N	ESA
M	32	927	214	M30-34	30-34	174.33	N	MEX
M	49	4574	571	M45-49	45-49	203.12	N	NC
F	32	394	12	F30-34	30-34	165.45	Y	RI
M	30	17	6	M30-34	30-34	134.4	Y	ETH
F	41	10772	452	F40-44	40-44	227.43	Y	PA
M	36	10758	1498	M35-39	35-39	227.37	Y	NJ
M	54	14701	1240	M50-54	50-54	237.7	Y	NY
M	26	319	80	M25-29	25-29	163.73	Y	CO
M	40	234	28	M40-44	40-44	160.93	Y	FRA
M	25	7639	749	M25-29	25-29	216.33	N	KEN
M	39	16199	2074	M35-39	35-39	241.02	Y	NED
M	54	17557	1498	M50-54	50-54	245.02	N	FRA
M	27	403	102	M25-29	25-29	165.65	N	CA
M	32	569	152	M30-34	30-34	168.9	N	CAN
M	63	15480	263	M60-64	60-64	239.3	Y	MN
M	47	4521	564	M45-49	45-49	202.73	N	CAN
M	41	1547	244	M40-44	40-44	179.85	Y	ITA
M	36	543	115	M35-39	35-39	168.32	N	ESP
M	46	787	51	M45-49	45-49	172.37	N	NJ
M	36	663	146	M35-39	35-39	170.38	Y	PA
M	25	15468	1305	M25-29	25-29	239.28	N	NY
F	28	797	9	F25-29	25-29	172.57	N	MA
F	38	3215	61	F35-39	35-39	194.43	Y	OR
M	24	441	25	M20-24	20-24	166.7	N	NY
M	49	19713	2186	M45-49	45-49	251.08	Y	VA
F	48	4556	66	F45-49	45-49	202.97	Y	NY
M	42	907	132	M40-44	40-44	174.02	Y	IRL
M	29	12867	1141	M25-29	25-29	233.3	Y	NY
M	44	6097	891	M40-44	40-44	209.72	N	ITA
M	35	19702	2392	M35-39	35-39	251.05	N	NY
M	37	303	51	M35-39	35-39	163.38	Y	SUI
M	50	12861	1079	M50-54	50-54	233.28	N	ITA
M	40	16153	2047	M40-44	40-44	240.87	N	NY
M	31	61	19	M30-34	30-34	148	Y	ARG
F	33	2780	83	F30-34	30-34	191.45	Y	NC
F	42	13733	603	F40-44	40-44	235.52	N	VEN
M	56	4596	120	M55-59	55-59	203.27	Y	NY
M	27	922	176	M25-29	25-29	174.27	Y	NY
M	30	6984	947	M30-34	30-34	213.57	N	GER
F	25	2765	70	F25-29	25-29	191.33	N	NY
F	51	17574	387	F50-54	50-54	245.05	Y	TPE
M	47	979	69	M45-49	45-49	175	Y	SWE
F	31	117	6	F30-34	30-34	154.72	N	CHN
M	25	273	71	M25-29	25-29	162.63	N	NY
M	43	882	126	M40-44	40-44	173.77	N	ESP
M	59	9240	353	M55-59	55-59	222.28	N	GBR
F	55	18778	169	F55-59	55-59	248.42	N	THA
M	37	3278	643	M35-39	35-39	194.78	N	WA
M	23	527	30	M20-24	20-24	167.97	Y	MA
M	26	6998	700	M25-29	25-29	213.63	Y	NY
M	33	14768	1739	M30-34	30-34	237.83	Y	SWE
F	24	5816	62	F20-24	20-24	208.75	N	NY
M	39	420	79	M35-39	35-39	166.15	N	GBR
F	27	1530	29	F25-29	25-29	179.7	N	MEX
M	29	4581	519	M25-29	25-29	203.17	N	WA
M	36	742	167	M35-39	35-39	171.62	Y	NY
M	41	409	47	M40-44	40-44	165.82	N	NY
M	49	19721	2187	M45-49	45-49	251.1	N	AUS
M	33	12848	1552	M30-34	30-34	233.25	Y	NY
M	36	9297	1356	M35-39	35-39	222.48	Y	GUA
M	47	6014	753	M45-49	45-49	209.48	Y	CZE
M	45	2706	314	M45-49	45-49	190.88	N	FRA
F	28	9254	404	F25-29	25-29	222.33	N	IL
F	26	2734	67	F25-29	25-29	191.1	N	IN
M	36	232	40	M35-39	35-39	160.88	Y	NY
M	39	794	181	M35-39	35-39	172.52	N	ESP
M	26	251	65	M25-29	25-29	161.67	Y	NJ
M	27	385	95	M25-29	25-29	165.07	N	NY
F	28	773	8	F25-29	25-29	172.08	Y	WI
F	35	11227	426	F35-39	35-39	228.68	N	CO
M	31	100	25	M30-34	30-34	153.88	Y	NY
M	40	599	70	M40-44	40-44	169.42	Y	TX
M	42	224	26	M40-44	40-44	160.32	Y	FRA
M	34	365	97	M30-34	30-34	164.57	N	PA
M	29	83	25	M25-29	25-29	152.32	Y	NY
F	41	19747	945	F40-44	40-44	251.17	Y	NY
M	50	1584	74	M50-54	50-54	180.23	Y	NJ
M	53	19736	1664	M50-54	50-54	251.13	N	NY
M	34	519	139	M30-34	30-34	167.9	Y	NC
M	43	2777	446	M40-44	40-44	191.42	N	PR
M	32	261	63	M30-34	30-34	162.13	Y	MA
M	39	8410	1253	M35-39	35-39	219.07	N	NJ
M	49	3266	399	M45-49	45-49	194.7	Y	FL
M	32	752	186	M30-34	30-34	171.77	Y	ITA
M	30	340	89	M30-34	30-34	164.2	N	GBR
F	33	9207	347	F30-34	30-34	222.15	Y	VA
M	38	7674	1179	M35-39	35-39	216.48	N	NY
M	56	9236	352	M55-59	55-59	222.28	Y	JPN
M	58	5869	191	M55-59	55-59	208.95	Y	SWE
M	30	30	12	M30-34	30-34	142.45	N	CA
M	43	3239	516	M40-44	40-44	194.57	Y	NY
M	41	8459	1165	M40-44	40-44	219.27	Y	ECU
M	28	205	56	M25-29	25-29	159.57	N	AUS
F	44	8482	338	F40-44	40-44	219.33	N	CAN
M	30	1574	308	M30-34	30-34	180.15	Y	NY
M	28	113	33	M25-29	25-29	154.5	N	NY
M	45	5875	735	M45-49	45-49	208.97	N	AUS
M	26	8495	816	M25-29	25-29	219.4	N	NZL
M	47	931	64	M45-49	45-49	174.38	N	POL
M	52	3210	229	M50-54	50-54	194.38	Y	FRA
M	52	19706	1662	M50-54	50-54	251.07	N	NED
M	36	1552	349	M35-39	35-39	179.88	N	AUT
F	24	265	1	F20-24	20-24	162.35	Y	ETH
F	37	14800	606	F35-39	35-39	237.88	N	AUS
M	33	194	48	M30-34	30-34	159.32	Y	SWE
M	32	140	35	M30-34	30-34	157	N	CO
M	34	477	129	M30-34	30-34	167.32	N	ECU
M	41	19798	2412	M40-44	40-44	251.28	N	NY
M	28	186	51	M25-29	25-29	159.07	Y	NY
M	30	4527	653	M30-34	30-34	202.77	N	AUS
M	39	3235	632	M35-39	35-39	194.53	Y	ESP
M	50	10723	895	M50-54	50-54	227.27	Y	ITA
M	53	12888	1082	M50-54	50-54	233.35	Y	CAN
F	31	3217	101	F30-34	30-34	194.43	N	VA
M	33	2722	458	M30-34	30-34	191.02	Y	BEL
F	28	2800	74	F25-29	25-29	191.6	Y	GBR
F	34	18715	874	F30-34	30-34	248.25	N	ITA
M	34	6915	936	M30-34	30-34	213.32	Y	RUS
M	42	5891	874	M40-44	40-44	209.02	Y	NY
F	33	19764	942	F30-34	30-34	251.2	N	NY
M	33	10798	1353	M30-34	30-34	227.5	N	NJ
F	24	19731	302	F20-24	20-24	251.12	Y	NY
M	36	1595	357	M35-39	35-39	180.32	Y	GBR
M	32	3291	506	M30-34	30-34	194.87	N	NJ
M	26	18716	1478	M25-29	25-29	248.25	Y	NY
M	41	12858	1692	M40-44	40-44	233.27	Y	FRA
M	40	809	108	M40-44	40-44	172.72	Y	CA
M	55	6006	198	M55-59	55-59	209.45	Y	NOR
F	27	4571	163	F25-29	25-29	203.1	Y	GBR
F	24	7670	94	F20-24	20-24	216.45	Y	CHN
M	53	749	19	M50-54	50-54	171.72	N	POL
M	33	37	15	M30-34	30-34	145.1	Y	NED
F	47	19751	736	F45-49	45-49	251.17	Y	PA
F	35	18781	810	F35-39	35-39	248.43	N	VA
M	42	640	75	M40-44	40-44	170.12	N	HKG
M	37	4567	805	M35-39	35-39	203.08	Y	CA
M	39	18762	2309	M35-39	35-39	248.38	N	NY
M	55	3277	65	M55-59	55-59	194.78	N	NED
M	31	652	167	M30-34	30-34	170.25	Y	MA
M	52	9295	782	M50-54	50-54	222.48	Y	SUI
M	33	325	83	M30-34	30-34	163.88	N	AND
F	48	15417	527	F45-49	45-49	239.17	N	NY
M	51	10709	894	M50-54	50-54	227.2	Y	NJ
M	30	823	195	M30-34	30-34	172.97	N	CAN
M	45	4520	563	M45-49	45-49	202.73	N	FRA
M	31	587	154	M30-34	30-34	169.22	N	MEX
F	39	5876	184	F35-39	35-39	208.97	Y	JPN
M	41	3232	515	M40-44	40-44	194.52	N	ITA
M	46	13746	1585	M45-49	45-49	235.55	N	FRA
M	38	7665	1177	M35-39	35-39	216.43	N	CAN
F	36	5817	182	F35-39	35-39	208.75	Y	ESP
M	30	296	71	M30-34	30-34	163.23	Y	OH
M	44	5814	860	M40-44	40-44	208.75	N	GER
M	49	6085	761	M45-49	45-49	209.67	N	NJ
M	44	557	65	M40-44	40-44	168.65	Y	CAN
M	30	5841	804	M30-34	30-34	208.85	Y	LA
M	34	449	123	M30-34	30-34	166.78	N	CAN
F	29	16189	856	F25-29	25-29	240.98	N	NJ
M	41	813	110	M40-44	40-44	172.77	N	FRA
M	36	246	41	M35-39	35-39	161.43	N	FRA
F	50	7684	75	F50-54	50-54	216.52	N	AZ
F	37	10740	400	F35-39	35-39	227.33	Y	GBR
F	21	18739	282	F20-24	20-24	248.32	N	PER
M	50	16151	1373	M50-54	50-54	240.87	N	NY
M	48	12831	1505	M45-49	45-49	233.2	Y	FRA
F	30	6940	252	F30-34	30-34	213.42	N	WI
M	40	18755	2320	M40-44	40-44	248.37	N	NJ
F	29	18772	1054	F25-29	25-29	248.4	N	GBR
M	35	725	163	M35-39	35-39	171.4	N	ITA
F	27	12834	607	F25-29	25-29	233.22	Y	NOR
M	49	15448	1756	M45-49	45-49	239.25	Y	SUI
M	54	12811	1073	M50-54	50-54	233.15	Y	FRA
M	34	17555	1970	M30-34	30-34	245.02	Y	GBR
M	43	15474	1970	M40-44	40-44	239.28	N	FRA
M	39	954	213	M35-39	35-39	174.73	Y	NY
M	27	760	155	M25-29	25-29	171.87	Y	DEN
M	39	6007	969	M35-39	35-39	209.45	N	CT
M	25	386	96	M25-29	25-29	165.07	N	CAN
M	60	16102	271	M60-64	60-64	240.72	N	TX
M	56	16145	666	M55-59	55-59	240.83	Y	ITA
M	25	726	149	M25-29	25-29	171.42	Y	NY
M	44	11287	1512	M40-44	40-44	228.85	N	AUS
F	26	15475	795	F25-29	25-29	239.28	Y	NY
M	32	4579	657	M30-34	30-34	203.15	N	WA
M	38	8455	1257	M35-39	35-39	219.25	N	CA
M	55	7696	279	M55-59	55-59	216.55	Y	GER
M	47	1519	137	M45-49	45-49	179.6	N	POR
F	23	2716	18	F20-24	20-24	190.98	N	NJ
F	29	7651	304	F25-29	25-29	216.38	N	NY
M	46	6953	856	M45-49	45-49	213.45	N	GBR
M	31	306	77	M30-34	30-34	163.45	N	NC
M	25	406	103	M25-29	25-29	165.78	Y	JPN
M	35	3249	635	M35-39	35-39	194.6	N	ITA
M	30	5822	799	M30-34	30-34	208.77	Y	LA
F	33	14763	650	F30-34	30-34	237.82	N	NY
M	59	6987	244	M55-59	55-59	213.58	N	WA
M	38	8406	1251	M35-39	35-39	219.05	Y	ITA
M	39	980	221	M35-39	35-39	175.03	N	IRL
M	33	405	106	M30-34	30-34	165.75	N	NC
M	26	346	85	M25-29	25-29	164.35	Y	DC
M	43	18761	2321	M40-44	40-44	248.37	Y	NY
M	30	16127	1866	M30-34	30-34	240.78	N	NY
M	42	683	84	M40-44	40-44	170.67	N	GBR
M	35	13796	1811	M35-39	35-39	235.65	N	CO
M	41	12802	1686	M40-44	40-44	233.13	Y	CHN
M	40	17501	2193	M40-44	40-44	244.83	N	FRA
M	51	796	25	M50-54	50-54	172.55	N	ESP
M	43	17551	2198	M40-44	40-44	245	N	BRA
M	38	13783	1808	M35-39	35-39	235.62	Y	GER
M	31	819	193	M30-34	30-34	172.87	N	ESP
F	25	39	2	F25-29	25-29	145.85	Y	ETH
M	29	723	148	M25-29	25-29	171.37	N	GBR
F	52	10776	171	F50-54	50-54	227.45	N	SUI
F	25	816	11	F25-29	25-29	172.78	N	CT
M	36	18763	2310	M35-39	35-39	248.38	N	MI
M	32	7653	1017	M30-34	30-34	216.38	Y	NY
M	55	16108	665	M55-59	55-59	240.73	N	WI
M	33	8492	1103	M30-34	30-34	219.38	N	GER
M	36	857	191	M35-39	35-39	173.43	Y	KEN
M	45	12829	1504	M45-49	45-49	233.18	Y	NED
F	51	14712	294	F50-54	50-54	237.72	Y	SC
M	32	11292	1397	M30-34	30-34	228.87	Y	MI
